No,drawtime,returntime,from,to,min,distance
SPB-17834,2019-05-01 14:27,2019-05-01 15:03,1937,1937,36,1400
SPB-09689,2019-05-01 14:19,2019-05-01 15:03,502,502,44,4600
SPB-13273,2019-05-01 14:49,2019-05-01 15:03,338,310,13,1880
SPB-02248,2019-05-01 13:25,2019-05-01 15:03,1840,1835,97,15190
SPB-13484,2019-05-01 14:54,2019-05-01 15:03,2613,1231,8,1240
SPB-18973,2019-05-01 14:36,2019-05-01 15:03,1293,2316,26,3510
SPB-02416,2019-05-01 14:23,2019-05-01 15:03,2355,2211,39,5580
SPB-19004,2019-05-01 15:00,2019-05-01 15:03,565,565,3,10
SPB-12562,2019-05-01 14:56,2019-05-01 15:03,1166,1158,7,1480
SPB-04808,2019-05-01 14:53,2019-05-01 15:03,361,1362,10,1920
SPB-13929,2019-05-01 14:09,2019-05-01 15:03,2183,1834,53,14440
SPB-04246,2019-05-01 14:50,2019-05-01 15:03,1663,1643,13,2680
SPB-16488,2019-05-01 14:02,2019-05-01 15:03,1438,594,60,11050
SPB-13901,2019-05-01 14:45,2019-05-01 15:03,202,220,17,2460
SPB-14064,2019-05-01 15:00,2019-05-01 15:03,312,312,3,0
SPB-06737,2019-05-01 14:30,2019-05-01 15:03,907,418,33,4320
SPB-14784,2019-05-01 14:59,2019-05-01 15:03,1322,1321,3,640
SPB-11863,2019-05-01 14:26,2019-05-01 15:03,359,305,36,4230
SPB-08258,2019-05-01 14:23,2019-05-01 15:03,2058,2038,40,4240
SPB-08890,2019-05-01 13:25,2019-05-01 15:03,1840,1835,94,13740
SPB-16087,2019-05-01 14:51,2019-05-01 15:03,630,625,12,0
SPB-06254,2019-05-01 14:40,2019-05-01 15:03,207,2070,22,4330
SPB-03011,2019-05-01 14:59,2019-05-01 15:03,1233,1233,4,30
SPB-11365,2019-05-01 14:22,2019-05-01 15:03,2058,2038,40,4340
SPB-14816,2019-05-01 13:10,2019-05-01 15:04,152,152,112,5970
SPB-11009,2019-05-01 15:00,2019-05-01 15:04,548,502,3,760
SPB-17142,2019-05-01 14:58,2019-05-01 15:04,1019,1291,4,810
SPB-08792,2019-05-01 14:46,2019-05-01 15:04,2501,2206,17,1990
SPB-12449,2019-05-01 14:16,2019-05-01 15:04,2219,2219,46,3070
SPB-09164,2019-05-01 13:56,2019-05-01 15:04,578,578,64,1700
SPB-04945,2019-05-01 14:22,2019-05-01 15:04,3515,543,41,6940
SPB-18068,2019-05-01 14:29,2019-05-01 15:04,2219,2219,33,3610
SPB-03292,2019-05-01 13:35,2019-05-01 15:04,825,825,87,17100
SPB-09779,2019-05-01 14:10,2019-05-01 15:04,182,426,50,6470
SPB-05832,2019-05-01 14:44,2019-05-01 15:04,1009,1050,19,2350
SPB-18578,2019-05-01 13:47,2019-05-01 15:04,409,105,74,6360
SPB-18301,2019-05-01 13:35,2019-05-01 15:04,825,825,88,17130
SPB-06203,2019-05-01 15:01,2019-05-01 15:04,115,113,2,390
SPB-11493,2019-05-01 13:47,2019-05-01 15:04,409,105,76,6410
SPB-09633,2019-05-01 15:01,2019-05-01 15:04,1001,1002,2,420
SPB-11877,2019-05-01 14:59,2019-05-01 15:04,152,151,4,810
SPB-08666,2019-05-01 14:18,2019-05-01 15:04,502,502,42,4250
SPB-13686,2019-05-01 13:00,2019-05-01 15:04,2202,2270,123,11090
SPB-02271,2019-05-01 14:02,2019-05-01 15:04,314,1531,61,8530
SPB-17917,2019-05-01 14:56,2019-05-01 15:04,265,284,7,780
SPB-18837,2019-05-01 14:56,2019-05-01 15:04,374,347,7,1190
SPB-16266,2019-05-01 13:10,2019-05-01 15:04,583,3515,113,0
SPB-19095,2019-05-01 14:07,2019-05-01 15:04,1362,358,56,3910
SPB-00315,2019-05-01 13:57,2019-05-01 15:04,1029,1211,66,3770
SPB-04942,2019-05-01 14:54,2019-05-01 15:04,633,614,9,1660
SPB-04940,2019-05-01 14:12,2019-05-01 15:04,182,181,51,5840
SPB-19798,2019-05-01 14:43,2019-05-01 15:04,1002,1047,20,2530
SPB-03849,2019-05-01 14:57,2019-05-01 15:04,1457,1411,6,1120
SPB-19800,2019-05-01 14:41,2019-05-01 15:04,203,257,22,2300
SPB-19470,2019-05-01 14:17,2019-05-01 15:04,908,105,45,10680
SPB-11448,2019-05-01 14:51,2019-05-01 15:04,338,393,12,1270
SPB-05452,2019-05-01 14:49,2019-05-01 15:04,1173,1160,14,2120
SPB-09563,2019-05-01 13:44,2019-05-01 15:04,586,586,79,19410
SPB-12757,2019-05-01 13:18,2019-05-01 15:04,583,3515,100,7270
SPB-12368,2019-05-01 14:37,2019-05-01 15:04,452,583,27,3720
SPB-16139,2019-05-01 14:06,2019-05-01 15:04,1145,202,57,14900
SPB-07172,2019-05-01 14:46,2019-05-01 15:04,455,583,18,4220
SPB-04098,2019-05-01 13:35,2019-05-01 15:04,1640,583,89,12490
SPB-11355,2019-05-01 14:33,2019-05-01 15:04,1195,2701,31,3810
SPB-04573,2019-05-01 14:54,2019-05-01 15:04,418,133,9,1780
SPB-16268,2019-05-01 14:34,2019-05-01 15:04,558,1308,30,3800
SPB-19238,2019-05-01 14:53,2019-05-01 15:04,543,577,11,1960
SPB-19068,2019-05-01 14:50,2019-05-01 15:04,802,837,13,0
SPB-10584,2019-05-01 14:22,2019-05-01 15:04,1712,1605,41,5810
SPB-08947,2019-05-01 14:58,2019-05-01 15:04,1126,1124,6,1020
SPB-07698,2019-05-01 14:58,2019-05-01 15:04,1446,1452,6,900
SPB-05105,2019-05-01 14:30,2019-05-01 15:04,901,901,34,1600
SPB-03969,2019-05-01 14:34,2019-05-01 15:04,1195,2701,30,3880
SPB-05886,2019-05-01 13:20,2019-05-01 15:04,1326,1611,104,4910
SPB-15487,2019-05-01 14:22,2019-05-01 15:04,1158,105,42,8630
SPB-08652,2019-05-01 14:24,2019-05-01 15:04,371,430,39,2720
SPB-13330,2019-05-01 14:05,2019-05-01 15:04,2360,2219,58,6050
SPB-11605,2019-05-01 14:32,2019-05-01 15:04,1655,1328,32,4970
SPB-13793,2019-05-01 14:35,2019-05-01 15:04,558,1308,28,3760
SPB-19788,2019-05-01 14:14,2019-05-01 15:04,1637,1637,49,5330
SPB-15701,2019-05-01 14:11,2019-05-01 15:04,2511,2511,52,1860
SPB-10684,2019-05-01 14:18,2019-05-01 15:04,2511,2511,44,2070
SPB-18279,2019-05-01 14:29,2019-05-01 15:04,809,809,35,640
SPB-13250,2019-05-01 14:34,2019-05-01 15:04,274,1985,29,5170
SPB-13586,2019-05-01 15:00,2019-05-01 15:04,1210,1211,4,910
SPB-15164,2019-05-01 14:52,2019-05-01 15:04,412,199,12,2330
SPB-14879,2019-05-01 14:44,2019-05-01 15:04,1737,1526,20,2520
SPB-18803,2019-05-01 14:42,2019-05-01 15:04,1009,1210,21,48710
SPB-15505,2019-05-01 14:58,2019-05-01 15:04,162,137,6,1530
SPB-17994,2019-05-01 14:07,2019-05-01 15:04,1160,227,56,7050
SPB-13838,2019-05-01 13:51,2019-05-01 15:04,539,1035,72,9930
SPB-09083,2019-05-01 13:54,2019-05-01 15:04,1681,1619,67,1090
SPB-19097,2019-05-01 14:07,2019-05-01 15:04,2360,2219,57,6240
SPB-15293,2019-05-01 14:57,2019-05-01 15:04,230,232,6,840
SPB-17573,2019-05-01 14:43,2019-05-01 15:04,128,114,20,2370
SPB-10520,2019-05-01 14:24,2019-05-01 15:04,106,1155,38,7250
SPB-06846,2019-05-01 14:22,2019-05-01 15:04,371,430,42,3140
SPB-14126,2019-05-01 14:22,2019-05-01 15:04,1712,1605,42,5680
SPB-16239,2019-05-01 14:44,2019-05-01 15:04,103,113,20,2380
SPB-12011,2019-05-01 14:14,2019-05-01 15:05,2511,2511,47,720
SPB-12850,2019-05-01 13:59,2019-05-01 15:05,419,272,65,7190
SPB-14346,2019-05-01 14:14,2019-05-01 15:05,1158,227,50,5920
SPB-06102,2019-05-01 14:16,2019-05-01 15:05,456,659,48,4790
SPB-17608,2019-05-01 14:54,2019-05-01 15:05,2106,2177,9,1740
SPB-16990,2019-05-01 14:58,2019-05-01 15:05,590,591,6,810
SPB-15292,2019-05-01 14:40,2019-05-01 15:05,1738,1611,23,3750
SPB-15622,2019-05-01 13:59,2019-05-01 15:05,414,414,65,8220
SPB-19555,2019-05-01 14:25,2019-05-01 15:05,361,338,35,1890
SPB-11059,2019-05-01 14:37,2019-05-01 15:05,302,446,27,3990
SPB-11543,2019-05-01 14:28,2019-05-01 15:05,960,942,34,1510
SPB-13950,2019-05-01 14:09,2019-05-01 15:05,2219,2307,54,6620
SPB-19318,2019-05-01 14:46,2019-05-01 15:05,2701,1153,17,1820
SPB-17711,2019-05-01 14:15,2019-05-01 15:05,230,114,49,6020
SPB-06166,2019-05-01 14:08,2019-05-01 15:05,2219,2307,56,6590
SPB-09163,2019-05-01 14:28,2019-05-01 15:05,809,809,34,600
SPB-04039,2019-05-01 14:53,2019-05-01 15:05,617,639,11,1960
SPB-00370,2019-05-01 14:24,2019-05-01 15:05,733,703,40,5790
SPB-08985,2019-05-01 14:43,2019-05-01 15:05,227,719,20,4070
SPB-09349,2019-05-01 14:55,2019-05-01 15:05,1111,1166,9,2250
SPB-16164,2019-05-01 14:48,2019-05-01 15:05,1199,1153,16,1540
SPB-11101,2019-05-01 13:40,2019-05-01 15:05,726,735,82,5530
SPB-04890,2019-05-01 14:36,2019-05-01 15:05,1404,1642,28,0
SPB-14698,2019-05-01 14:54,2019-05-01 15:05,1605,1669,10,2020
SPB-07241,2019-05-01 14:40,2019-05-01 15:05,1009,1050,24,2310
SPB-17123,2019-05-01 14:40,2019-05-01 15:05,1129,1153,24,2280
SPB-02875,2019-05-01 14:45,2019-05-01 15:05,2701,1153,19,1840
SPB-05842,2019-05-01 14:57,2019-05-01 15:05,1829,1846,7,1260
SPB-17148,2019-05-01 14:56,2019-05-01 15:05,924,949,8,1550
SPB-05553,2019-05-01 14:54,2019-05-01 15:05,1545,1546,10,1750
SPB-12684,2019-05-01 14:59,2019-05-01 15:05,840,841,5,1030
SPB-07325,2019-05-01 14:59,2019-05-01 15:05,952,951,6,760
SPB-00700,2019-05-01 14:50,2019-05-01 15:05,828,313,14,1570
SPB-06714,2019-05-01 14:51,2019-05-01 15:05,431,356,13,2320
SPB-14348,2019-05-01 14:52,2019-05-01 15:05,1668,1712,12,2290
SPB-18931,2019-05-01 14:45,2019-05-01 15:05,1251,1221,19,2060
SPB-16800,2019-05-01 14:54,2019-05-01 15:05,1308,630,10,1710
SPB-15473,2019-05-01 14:23,2019-05-01 15:05,583,657,41,4700
SPB-16037,2019-05-01 14:58,2019-05-01 15:05,840,841,7,1060
SPB-17407,2019-05-01 14:55,2019-05-01 15:05,2342,2389,10,2140
SPB-13339,2019-05-01 14:50,2019-05-01 15:05,514,511,14,2190
SPB-14635,2019-05-01 14:40,2019-05-01 15:05,1726,1741,25,2500
SPB-10715,2019-05-01 12:52,2019-05-01 15:05,657,654,131,22340
SPB-06693,2019-05-01 15:01,2019-05-01 15:05,3541,3534,3,370
SPB-10585,2019-05-01 14:10,2019-05-01 15:05,2164,278,54,5520
SPB-05004,2019-05-01 14:31,2019-05-01 15:05,194,179,33,1620
SPB-08994,2019-05-01 14:27,2019-05-01 15:05,960,942,37,1590
SPB-03922,2019-05-01 13:37,2019-05-01 15:05,907,907,87,14690
SPB-09430,2019-05-01 14:20,2019-05-01 15:05,1003,1002,42,6920
SPB-04899,2019-05-01 15:01,2019-05-01 15:05,3523,590,3,880
SPB-01606,2019-05-01 14:46,2019-05-01 15:05,1605,1620,18,3190
SPB-15604,2019-05-01 14:14,2019-05-01 15:05,2164,278,50,7440
SPB-03680,2019-05-01 14:22,2019-05-01 15:05,733,703,42,5850
SPB-13764,2019-05-01 14:33,2019-05-01 15:05,950,907,31,6300
SPB-08863,2019-05-01 14:48,2019-05-01 15:05,1246,1288,17,1680
SPB-19956,2019-05-01 14:46,2019-05-01 15:05,1671,1650,18,2580
SPB-09448,2019-05-01 13:36,2019-05-01 15:05,907,907,85,13330
SPB-17015,2019-05-01 14:55,2019-05-01 15:05,737,1140,10,2510
SPB-05593,2019-05-01 14:58,2019-05-01 15:05,124,134,7,1020
SPB-06241,2019-05-01 15:00,2019-05-01 15:05,811,810,5,440
SPB-06894,2019-05-01 14:58,2019-05-01 15:05,1446,1451,7,1100
SPB-16886,2019-05-01 14:46,2019-05-01 15:05,1929,1929,19,1370
SPB-19320,2019-05-01 14:57,2019-05-01 15:05,411,402,7,1370
SPB-09700,2019-05-01 15:01,2019-05-01 15:05,250,2063,3,730
SPB-11726,2019-05-01 14:15,2019-05-01 15:05,593,590,50,4120
SPB-15917,2019-05-01 14:50,2019-05-01 15:05,206,205,14,2580
SPB-11269,2019-05-01 14:32,2019-05-01 15:05,3522,364,31,4660
SPB-12624,2019-05-01 14:43,2019-05-01 15:05,240,213,21,3020
SPB-10293,2019-05-01 13:39,2019-05-01 15:05,2002,816,86,9300
SPB-04410,2019-05-01 15:01,2019-05-01 15:05,709,709,3,40
SPB-10627,2019-05-01 15:00,2019-05-01 15:05,2013,2054,5,860
SPB-08147,2019-05-01 14:31,2019-05-01 15:05,626,607,31,5530
SPB-03821,2019-05-01 14:56,2019-05-01 15:05,236,1906,8,1260
SPB-15625,2019-05-01 14:10,2019-05-01 15:05,1196,293,55,10140
SPB-10701,2019-05-01 14:56,2019-05-01 15:05,592,516,8,1270
SPB-16142,2019-05-01 13:40,2019-05-01 15:06,2002,816,85,9820
SPB-03185,2019-05-01 14:34,2019-05-01 15:06,1338,335,31,4850
SPB-08342,2019-05-01 14:54,2019-05-01 15:06,236,1906,11,1240
SPB-08017,2019-05-01 14:28,2019-05-01 15:06,926,407,36,6620
SPB-19420,2019-05-01 14:35,2019-05-01 15:06,916,907,29,5190
SPB-07466,2019-05-01 14:09,2019-05-01 15:06,1196,293,56,9240
SPB-06103,2019-05-01 14:51,2019-05-01 15:06,518,633,13,1840
SPB-14899,2019-05-01 14:32,2019-05-01 15:06,626,607,33,6890
SPB-15648,2019-05-01 13:30,2019-05-01 15:06,1224,2613,95,3940
SPB-16835,2019-05-01 14:22,2019-05-01 15:06,2322,1251,43,5390
SPB-19025,2019-05-01 13:54,2019-05-01 15:06,1655,588,71,18630
SPB-13322,2019-05-01 14:41,2019-05-01 15:06,2107,1985,24,6330
SPB-15417,2019-05-01 14:59,2019-05-01 15:06,956,907,6,940
SPB-09387,2019-05-01 14:55,2019-05-01 15:06,592,3534,9,1040
SPB-08955,2019-05-01 14:09,2019-05-01 15:06,2219,2307,0,0
SPB-19227,2019-05-01 15:01,2019-05-01 15:06,1184,1150,4,1010
SPB-02876,2019-05-01 14:01,2019-05-01 15:06,1118,1131,64,3220
SPB-13324,2019-05-01 13:49,2019-05-01 15:06,845,561,76,13160
SPB-17840,2019-05-01 14:54,2019-05-01 15:06,1601,1603,10,1940
SPB-10190,2019-05-01 13:50,2019-05-01 15:06,818,112,75,9090
SPB-19857,2019-05-01 14:18,2019-05-01 15:06,825,829,46,11820
SPB-18862,2019-05-01 13:44,2019-05-01 15:06,1856,2153,75,3410
SPB-16220,2019-05-01 14:51,2019-05-01 15:06,206,205,14,2560
SPB-12828,2019-05-01 13:50,2019-05-01 15:06,845,561,71,13140
SPB-09287,2019-05-01 14:35,2019-05-01 15:06,916,907,29,4740
SPB-17592,2019-05-01 14:54,2019-05-01 15:06,1208,1209,11,2670
SPB-03395,2019-05-01 14:29,2019-05-01 15:06,2319,2231,36,3900
SPB-06806,2019-05-01 13:49,2019-05-01 15:06,845,561,76,13180
SPB-04513,2019-05-01 14:44,2019-05-01 15:06,232,719,21,3130
SPB-15343,2019-05-01 14:54,2019-05-01 15:06,811,816,11,1970
SPB-18016,2019-05-01 14:53,2019-05-01 15:06,1446,1451,12,1100
SPB-08962,2019-05-01 14:17,2019-05-01 15:06,731,723,46,1870
SPB-11923,2019-05-01 14:27,2019-05-01 15:06,1207,1224,37,9250
SPB-09506,2019-05-01 14:25,2019-05-01 15:06,2220,825,38,4480
SPB-03486,2019-05-01 14:50,2019-05-01 15:06,831,816,15,2270
SPB-02375,2019-05-01 14:51,2019-05-01 15:06,326,334,14,950
SPB-09544,2019-05-01 14:37,2019-05-01 15:06,3515,3515,27,3370
SPB-16085,2019-05-01 13:50,2019-05-01 15:06,818,112,75,10380
SPB-18788,2019-05-01 14:11,2019-05-01 15:06,272,248,53,7040
SPB-06789,2019-05-01 14:30,2019-05-01 15:06,577,590,35,4370
SPB-14571,2019-05-01 14:29,2019-05-01 15:06,2015,2102,36,4150
SPB-09463,2019-05-01 15:01,2019-05-01 15:06,1208,1030,4,620
SPB-18990,2019-05-01 13:32,2019-05-01 15:06,2622,1210,94,4560
SPB-04703,2019-05-01 14:58,2019-05-01 15:06,574,540,7,1370
SPB-06934,2019-05-01 13:50,2019-05-01 15:06,845,561,75,13310
SPB-04004,2019-05-01 14:10,2019-05-01 15:06,3523,592,55,4030
SPB-17983,2019-05-01 14:59,2019-05-01 15:06,1605,1617,6,1070
SPB-18226,2019-05-01 14:50,2019-05-01 15:06,1985,1911,15,2200
SPB-13649,2019-05-01 14:35,2019-05-01 15:06,1336,1302,30,3520
SPB-09350,2019-05-01 14:32,2019-05-01 15:06,1635,1623,31,4130
SPB-03901,2019-05-01 14:33,2019-05-01 15:06,1601,1674,32,7500
SPB-15860,2019-05-01 14:56,2019-05-01 15:06,1401,1610,9,1660
SPB-18381,2019-05-01 14:58,2019-05-01 15:06,417,417,7,0
SPB-17108,2019-05-01 14:11,2019-05-01 15:06,374,593,55,14240
SPB-06518,2019-05-01 15:02,2019-05-01 15:06,548,502,3,780
SPB-14702,2019-05-01 14:25,2019-05-01 15:06,2220,825,41,5280
SPB-19534,2019-05-01 15:01,2019-05-01 15:06,3518,3509,5,730
SPB-18140,2019-05-01 13:28,2019-05-01 15:06,202,202,97,10590
SPB-00519,2019-05-01 13:58,2019-05-01 15:06,3515,565,68,5490
SPB-15099,2019-05-01 13:58,2019-05-01 15:06,3515,565,67,5620
SPB-02878,2019-05-01 14:41,2019-05-01 15:06,509,3518,24,4300
SPB-16331,2019-05-01 13:59,2019-05-01 15:06,186,186,67,1580
SPB-14081,2019-05-01 15:01,2019-05-01 15:06,1721,1708,4,990
SPB-15918,2019-05-01 14:10,2019-05-01 15:06,2384,2384,56,106370
SPB-07108,2019-05-01 13:38,2019-05-01 15:06,1738,1738,87,13230
SPB-11632,2019-05-01 13:59,2019-05-01 15:06,186,186,65,3250
SPB-14900,2019-05-01 13:59,2019-05-01 15:06,186,186,66,3110
SPB-11737,2019-05-01 13:52,2019-05-01 15:06,3515,565,71,5240
SPB-09209,2019-05-01 14:38,2019-05-01 15:06,1911,1911,28,2510
SPB-13997,2019-05-01 14:39,2019-05-01 15:07,390,1308,26,5750
SPB-10963,2019-05-01 14:35,2019-05-01 15:07,2217,2313,30,6620
SPB-03993,2019-05-01 15:04,2019-05-01 15:07,276,274,2,490
SPB-09852,2019-05-01 14:36,2019-05-01 15:07,346,583,31,3670
SPB-06900,2019-05-01 14:40,2019-05-01 15:07,635,1401,26,5310
SPB-04608,2019-05-01 14:58,2019-05-01 15:07,593,502,8,1410
SPB-14308,2019-05-01 14:35,2019-05-01 15:07,346,583,31,3870
SPB-03974,2019-05-01 14:45,2019-05-01 15:07,2335,2276,21,1970
SPB-01458,2019-05-01 14:28,2019-05-01 15:07,268,207,38,4380
SPB-05512,2019-05-01 14:55,2019-05-01 15:07,558,601,10,1490
SPB-17227,2019-05-01 14:17,2019-05-01 15:07,3515,3515,49,1320
SPB-18829,2019-05-01 13:10,2019-05-01 15:07,1106,1106,113,23160
SPB-08764,2019-05-01 14:12,2019-05-01 15:07,152,207,54,6590
SPB-12726,2019-05-01 14:11,2019-05-01 15:07,152,207,51,6630
SPB-03498,2019-05-01 14:46,2019-05-01 15:07,585,505,20,3210
SPB-12057,2019-05-01 14:23,2019-05-01 15:07,3516,567,43,4340
SPB-17709,2019-05-01 15:00,2019-05-01 15:07,1509,1503,6,1060
SPB-19973,2019-05-01 14:09,2019-05-01 15:07,2412,2306,57,10960
SPB-11123,2019-05-01 14:29,2019-05-01 15:07,268,207,36,3740
SPB-07197,2019-05-01 14:22,2019-05-01 15:07,3508,3508,44,8860
SPB-03989,2019-05-01 15:00,2019-05-01 15:07,614,1308,6,800
SPB-17782,2019-05-01 15:04,2019-05-01 15:07,610,631,2,680
SPB-17977,2019-05-01 14:51,2019-05-01 15:07,2215,2221,15,2840
SPB-17872,2019-05-01 14:16,2019-05-01 15:07,3515,3515,49,1380
SPB-19705,2019-05-01 14:56,2019-05-01 15:07,1637,1691,9,1510
SPB-03039,2019-05-01 15:01,2019-05-01 15:07,1017,1010,5,770
SPB-18184,2019-05-01 14:57,2019-05-01 15:07,648,658,9,880
SPB-10708,2019-05-01 14:05,2019-05-01 15:07,1843,272,56,13620
SPB-11505,2019-05-01 14:42,2019-05-01 15:07,203,259,24,3200
SPB-05688,2019-05-01 14:36,2019-05-01 15:07,2217,2313,30,7420
SPB-17724,2019-05-01 14:44,2019-05-01 15:07,1424,1448,21,2250
SPB-17013,2019-05-01 14:26,2019-05-01 15:07,1308,602,40,6350
SPB-16378,2019-05-01 14:49,2019-05-01 15:07,511,513,17,1240
SPB-13292,2019-05-01 14:52,2019-05-01 15:07,2621,1231,14,1640
SPB-17809,2019-05-01 12:21,2019-05-01 15:07,844,844,165,16250
SPB-14049,2019-05-01 14:08,2019-05-01 15:07,2610,1295,59,1700
SPB-11144,2019-05-01 14:11,2019-05-01 15:07,152,207,54,7030
SPB-07055,2019-05-01 14:37,2019-05-01 15:07,3519,631,29,1410
SPB-19361,2019-05-01 14:55,2019-05-01 15:07,3522,525,12,2160
SPB-17936,2019-05-01 15:00,2019-05-01 15:07,1291,1011,6,1950
SPB-18138,2019-05-01 14:37,2019-05-01 15:07,1533,1534,29,2750
SPB-00940,2019-05-01 14:53,2019-05-01 15:07,548,3533,13,1840
SPB-13893,2019-05-01 13:11,2019-05-01 15:07,1106,1106,115,24060
SPB-15863,2019-05-01 14:52,2019-05-01 15:07,1328,1351,14,3310
SPB-19019,2019-05-01 13:50,2019-05-01 15:07,2177,227,72,12460
SPB-14875,2019-05-01 14:57,2019-05-01 15:07,1674,1689,9,1630
SPB-16501,2019-05-01 14:58,2019-05-01 15:07,3541,589,9,960
SPB-16880,2019-05-01 14:47,2019-05-01 15:07,614,635,19,2710
SPB-18640,2019-05-01 14:51,2019-05-01 15:07,1663,1533,14,2230
SPB-12117,2019-05-01 14:29,2019-05-01 15:07,2139,1961,38,7330
SPB-12902,2019-05-01 12:22,2019-05-01 15:07,844,844,164,14800
SPB-13445,2019-05-01 14:50,2019-05-01 15:07,1130,740,16,1490
SPB-04984,2019-05-01 14:47,2019-05-01 15:07,614,635,19,2670
SPB-00815,2019-05-01 14:56,2019-05-01 15:07,2622,1282,10,0
SPB-18413,2019-05-01 14:24,2019-05-01 15:07,1206,1033,42,970
SPB-04789,2019-05-01 14:36,2019-05-01 15:07,1355,393,30,3330
SPB-16043,2019-05-01 14:49,2019-05-01 15:07,1441,1449,18,4260
SPB-18947,2019-05-01 14:07,2019-05-01 15:07,1705,1720,57,5050
SPB-19587,2019-05-01 14:56,2019-05-01 15:07,1146,719,10,2720
SPB-09149,2019-05-01 14:14,2019-05-01 15:07,152,106,53,3090
SPB-17850,2019-05-01 14:37,2019-05-01 15:07,1533,1534,29,2760
SPB-10080,2019-05-01 13:23,2019-05-01 15:07,212,2219,96,11660
SPB-16917,2019-05-01 14:37,2019-05-01 15:07,3519,631,29,1320
SPB-17546,2019-05-01 14:37,2019-05-01 15:07,402,409,30,2680
SPB-11068,2019-05-01 14:35,2019-05-01 15:07,123,414,31,8560
SPB-04674,2019-05-01 14:50,2019-05-01 15:07,1308,637,16,2430
SPB-01149,2019-05-01 14:13,2019-05-01 15:07,152,106,53,3150
SPB-17084,2019-05-01 13:24,2019-05-01 15:07,212,2219,102,13420
SPB-06437,2019-05-01 14:56,2019-05-01 15:07,3541,589,10,950
SPB-07783,2019-05-01 14:21,2019-05-01 15:07,1268,2621,44,3900
SPB-19695,2019-05-01 14:07,2019-05-01 15:07,1976,1984,57,1570
SPB-00043,2019-05-01 14:59,2019-05-01 15:07,3533,502,8,910
SPB-09361,2019-05-01 13:16,2019-05-01 15:07,747,747,104,10470
SPB-08442,2019-05-01 13:10,2019-05-01 15:07,747,747,110,12610
SPB-18860,2019-05-01 14:15,2019-05-01 15:07,260,2220,50,9550
SPB-14365,2019-05-01 15:03,2019-05-01 15:07,2233,2231,4,920
SPB-13280,2019-05-01 14:01,2019-05-01 15:07,272,272,63,9060
SPB-08988,2019-05-01 14:19,2019-05-01 15:07,1017,1017,45,2130
SPB-05841,2019-05-01 14:52,2019-05-01 15:07,326,334,15,960
SPB-18804,2019-05-01 14:51,2019-05-01 15:07,1149,1178,15,1920
SPB-14737,2019-05-01 15:02,2019-05-01 15:07,358,359,5,850
SPB-17946,2019-05-01 14:31,2019-05-01 15:08,2305,3508,35,5690
SPB-10989,2019-05-01 14:50,2019-05-01 15:08,2357,2370,16,1370
SPB-17365,2019-05-01 14:44,2019-05-01 15:08,1115,1173,23,3220
SPB-13865,2019-05-01 14:15,2019-05-01 15:08,650,521,52,10930
SPB-05521,2019-05-01 14:42,2019-05-01 15:08,1153,1129,24,2300
SPB-09731,2019-05-01 14:09,2019-05-01 15:08,272,272,57,7770
SPB-17045,2019-05-01 14:20,2019-05-01 15:08,247,209,46,6750
SPB-12424,2019-05-01 14:38,2019-05-01 15:08,2613,2342,27,6020
SPB-00038,2019-05-01 15:03,2019-05-01 15:08,2619,1293,4,680
SPB-06722,2019-05-01 14:48,2019-05-01 15:08,337,342,18,1660
SPB-17507,2019-05-01 14:25,2019-05-01 15:08,2621,2621,42,4760
SPB-17330,2019-05-01 14:32,2019-05-01 15:08,2102,2183,35,7250
SPB-10253,2019-05-01 15:01,2019-05-01 15:08,1245,1243,6,910
SPB-15829,2019-05-01 14:43,2019-05-01 15:08,1131,1157,24,1480
SPB-17215,2019-05-01 14:38,2019-05-01 15:08,2301,2301,29,145080
SPB-11136,2019-05-01 14:20,2019-05-01 15:08,247,209,46,5840
SPB-19091,2019-05-01 15:02,2019-05-01 15:08,1165,1149,5,910
SPB-12661,2019-05-01 14:50,2019-05-01 15:08,2357,2370,16,1780
SPB-14991,2019-05-01 14:28,2019-05-01 15:08,222,134,39,7460
SPB-11809,2019-05-01 14:47,2019-05-01 15:08,337,342,19,1400
SPB-14097,2019-05-01 15:05,2019-05-01 15:08,612,612,2,0
SPB-17939,2019-05-01 14:17,2019-05-01 15:08,513,3534,50,3420
SPB-08297,2019-05-01 14:43,2019-05-01 15:08,826,345,24,4290
SPB-09970,2019-05-01 14:46,2019-05-01 15:08,509,3501,21,3290
SPB-07715,2019-05-01 13:15,2019-05-01 15:08,1251,1268,111,9050
SPB-10817,2019-05-01 14:27,2019-05-01 15:08,2171,2173,37,4040
SPB-17186,2019-05-01 14:22,2019-05-01 15:08,2212,2212,45,3260
SPB-03745,2019-05-01 14:10,2019-05-01 15:08,1355,1355,57,6100
SPB-17701,2019-05-01 14:17,2019-05-01 15:08,260,2220,50,9400
SPB-19017,2019-05-01 13:29,2019-05-01 15:08,2262,2262,97,2280
SPB-16386,2019-05-01 14:30,2019-05-01 15:08,137,120,37,2440
SPB-19885,2019-05-01 14:31,2019-05-01 15:08,1153,1129,37,2380
SPB-16060,2019-05-01 13:40,2019-05-01 15:08,2268,2219,87,4460
SPB-06341,2019-05-01 13:15,2019-05-01 15:08,1251,1268,112,11230
SPB-18168,2019-05-01 14:42,2019-05-01 15:08,1716,1630,25,4370
